box,item,author,title,isbn,publisher
1,Blazer,,,,
1,Paper padding,,,,
1,Book,Jim Heimann & Steven Heller,Advertising from the Mad Men Era,,Taschen
1,Book,Gao Xingjian,Le Livre d’un homme seul,9782876786714,
1,Book,Anton Tchekov,Trois annees,9782916266541,
1,Book,Racine,Phedre,203871682X,
1,Book,Moliere,L’avare,2038716609,
1,Book,Hermann Hesse,Siddhartha,9782253008484,
1,Book,Francoise Sagan,Un certain sourire,3011086807,
1,Book,Fyodor Dostoievski,Les nuits blanches,3023262801,
1,Book,Christiane Rochefort,Les petits enfants du siecle,2253002941,
1,Book,Francoise Sagan,Les violons parfois,3011161705,
1,Book,Marie Cardinal,Autrement dit,9782253018728,
1,Book,Anais Nin,Journal 1947-1955,2253020206,
1,Book,Jean-Paul Sartre,La nausee,,"Gallimard, 1938"
1,Book,Francoise Sagan,Un peu de soleil dans l’eau froide,,"Flammarion, 1969"
1,Book,J.H. Rosny aine,La guerre du feu,9782253025689,
1,Book,Paul Leautaud,Le petit ami,3011242901,
1,Book,Didier van Cauwelaert,Un aller simple,9782253138532,
1,Book,Primo Levi,Iron Potassium Nickel,0141022337,
1,Book,Joseph Roth,La crypte des capucins,2020264188,
1,Book,Confucius,The First Ten Books,0141023805,
1,Book,Alexander Solzhenitsyn,For the Good of the Cause,,"Sphere Books Ltd, 1971"
1,Book,Leonardo da Vinci,The Da Vinci Notebooks,1861979878,
1,Book,Michel de Montaigne,Essais Livre I,9782080702104,
1,Book,Michel de Montaigne,Essais Livre II,9782080702111,
1,Book,Michel de Montaigne,Essais Livre III,9782080702128,
1,Book,Yukio Mishima,Les amours interdites,2070388530,
1,Book,Wei Hui,Shanghai Baby,1841196843,
1,Book,Ernest Hemingway,Men Without Women,0099909308,
1,Book,Bede,A History of the English Church and People,,"Penguin Classics, 1968"
1,Book,Truman Capote,My Side of the Matter,0141022175,
1,Book,Sigmund Freud,Forgetting Things,0141022272,
1,Book,Noam Chomsky,Doctrines and Visions,0141023058,
1,Book,Will Self,Design Faults in the Volvo 760 Turbo,0141022744,
1,Book,Hunter S. Thompson,Happy Birthday Jack Nicholson,0141022434,
1,Book,Arthur Schopenhauer,On the Suffering of the World,0141018941,
1,Book,Ernest Hemingway,A Moveable Feast,0099909405,
1,Book,Soren Kierkegaard,Journals 1834-1854,,"Fontana Books, 1958"
1,Book,Hannah Arendt,Le systeme totalitaire,2020246589,
1,Book,Albert Camus,The Outsider,,"Penguin Modern Classics, 1971"
1,Book,Robert J.C. Young,Postcolonialism: A Very Short Introduction,9780192801821,
1,Book,Charles Townshend,Terrorism: A Very Short Introduction,9780192801685,
1,Book,周群,道教文化,9787305065576,
1,Book,李吉东,墨子,9787560755847,
